id,pedido_id,produto_id,quantidade,preco_praticado,desconto_aplicado
74,33,14,2,2357.61,0.02
75,33,105,3,954.26,0.02
76,34,136,2,1283.77,0.11
77,34,50,1,2495.34,0.16
78,35,94,3,2537.76,0.04
79,36,76,5,649.52,0.01
80,36,151,4,693.88,0.04
81,36,8,2,1199.73,0.01
82,36,34,4,1337.8,0.02
83,37,166,3,1359.63,0.01
84,37,4,3,3398.15,0.02
85,37,56,2,2110.98,0.05
86,38,108,1,1070.35,0.04
87,38,97,4,1004.96,0.05
88,38,137,5,141.22,0.03
89,38,1,2,1604.15,0.01
90,39,177,2,527.58,0.08
91,39,170,4,957.26,0.29
92,39,145,2,2595.64,0.21
93,39,193,4,1598.07,0.02
94,39,113,5,338.55,0.23
95,40,64,5,677.3,0.26
96,40,32,2,273.69,0.26
97,40,162,2,204.18,0.17
98,40,8,5,969.48,0.2
99,41,157,1,666.98,0.03
100,41,40,4,454.44,
101,42,145,2,3252.76,0.01
102,42,88,1,2829.32,0.03
103,43,150,3,2522.34,0.05
104,43,184,2,2808.19,0.12
105,43,25,2,1024.33,0.19
106,44,17,4,3270.84,0.01
107,44,115,1,3309.0,0.04
108,45,47,4,1485.05,
109,46,72,1,816.16,0.04
110,46,15,5,1371.47,0.04
111,46,82,2,3170.25,0.03
112,46,32,2,355.06,0.04
113,47,197,4,2657.31,0.09
114,47,66,3,810.05,0.23
115,48,171,1,55.68,0.02
116,49,186,4,2122.02,0.02
117,49,38,4,120.12,0.03
118,49,10,4,1519.03,0.03
119,49,93,2,2799.65,0.03
120,50,105,1,954.26,0.02
121,51,22,2,557.3,0.05
122,51,15,5,1400.04,0.02
123,52,92,5,1984.8,0.03
124,52,4,3,3467.5,0.0
125,52,49,2,2033.65,0.03
126,53,134,2,273.3,0.03
127,53,7,1,417.65,0.16
128,54,189,2,1989.91,0.03
129,54,160,4,2908.77,0.02
130,54,85,3,3367.26,0.01
131,55,163,5,619.32,0.19
132,56,90,2,595.99,0.02
133,56,55,2,2463.92,0.02
134,57,21,5,1130.36,0.02
135,57,97,2,1026.11,0.03
136,58,170,2,1334.78,0.01
137,59,84,3,1959.85,0.05
138,59,150,4,2628.54,0.01
139,60,77,4,1550.76,0.01
140,60,14,4,2357.61,0.02
141,60,89,2,1859.99,0.02
142,61,193,5,1581.76,0.03
143,61,52,1,1116.78,0.05
144,62,60,5,497.67,0.01
145,62,4,2,3398.15,0.02
146,63,28,4,2890.24,0.01
147,63,77,3,1503.76,0.04
148,63,166,3,1345.89,0.02
149,63,83,1,3281.76,0.05
150,63,143,3,1458.36,0.01
151,64,7,5,472.34,0.05
152,65,193,2,1581.76,0.03
153,65,194,2,871.13,0.05
154,65,180,1,3355.97,0.04
155,66,66,1,841.61,0.2
156,67,34,2,1351.45,
157,67,8,2,1187.61,0.02
158,68,38,4,121.36,0.02
159,68,177,1,544.79,0.05
160,69,139,2,712.06,0.04
161,69,110,5,2203.59,0.0
162,70,136,1,1399.17,0.03
163,70,8,4,1187.61,0.02
164,71,116,5,1233.22,0.0
165,72,43,4,958.85,0.28
166,73,47,3,1469.58,0.05
167,73,89,1,1803.05,0.05
168,73,66,5,1041.49,0.01
169,73,155,5,872.18,0.02
170,74,138,5,1706.86,0.01
171,75,169,4,304.4,0.16
172,75,72,1,714.14,0.16
173,75,135,4,1625.42,0.27
174,75,25,3,1024.33,0.19
175,76,29,5,1165.17,0.05
176,76,184,4,2999.65,0.06
177,76,125,3,306.77,0.07
178,77,121,1,1296.12,0.03
179,78,42,4,2810.12,0.02
180,78,157,1,660.11,0.04
181,79,111,5,2142.12,0.19
182,79,159,3,3327.16,0.02
183,80,3,2,1943.47,0.2
184,80,152,1,1283.57,0.26
185,81,158,4,1895.01,0.01
186,82,52,5,1128.54,0.04
187,82,127,4,2011.91,0.02
188,82,39,2,173.66,0.04
189,83,55,3,2463.92,0.02
190,83,19,2,892.33,0.05
191,84,163,5,756.94,0.01
192,84,68,2,1997.55,0.02
193,84,187,1,789.92,0.01
194,84,189,2,2030.94,0.01
195,85,89,1,1878.97,0.01
196,85,32,1,366.15,0.01
197,86,77,2,1535.09,0.02
198,87,181,2,1263.95,0.21
199,87,128,3,1218.23,0.09
200,88,66,2,1009.93,0.04
201,89,167,1,614.43,0.03
202,89,30,1,3143.0,0.03
203,89,183,4,338.56,0.0
204,89,75,4,1851.17,0.03
205,90,17,2,2907.41,0.12
206,90,166,5,1222.29,0.11
207,91,67,1,2802.17,0.04
208,92,200,1,2429.6,0.03
209,93,121,5,1322.85,0.01
210,93,163,3,734.01,0.04
211,94,6,2,2542.73,0.05
212,95,31,5,127.54,0.29
213,95,132,2,2752.58,0.14
214,95,17,5,2775.26,0.16
215,95,27,1,1777.37,0.24
216,96,163,4,741.65,0.03
217,96,104,1,1989.16,0.02
218,96,149,3,87.36,0.02
219,96,53,5,200.83,0.05
220,96,96,2,1521.21,0.02
221,96,31,3,177.84,0.01
222,97,58,2,1600.28,0.18
223,97,15,3,1357.18,0.05
224,98,173,4,2503.93,0.01
225,99,178,5,1772.07,0.01
226,99,13,3,1915.84,0.03
227,100,59,3,639.13,0.01
228,100,138,3,1637.89,0.05
229,100,178,2,1736.27,0.03
230,100,25,1,1226.67,0.03
231,100,46,2,436.71,0.03
232,100,61,2,409.7,0.02
233,101,11,1,1436.33,0.01
234,101,55,4,2388.49,0.05
235,101,60,2,482.59,0.04
236,101,13,2,1975.09,0.0
237,102,68,1,1610.27,0.21
238,102,14,5,2285.43,0.05
239,103,59,5,632.68,0.02
240,103,148,3,488.21,0.0
241,104,47,4,1485.05,0.04
242,104,119,1,1134.03,0.02
243,104,130,3,622.33,0.04
244,104,167,5,620.76,0.02
245,105,66,3,1020.45,0.03
246,105,178,2,1789.97,0.0
247,105,96,5,1536.74,0.01
248,105,183,4,335.17,0.01
249,105,52,2,1128.54,0.04
250,105,129,4,2292.04,0.01
251,106,35,2,2805.01,0.03
252,107,194,3,706.07,0.23
253,107,47,1,1222.07,0.21
254,108,151,5,701.11,0.03
255,108,47,2,1531.46,
256,109,73,5,1278.0,0.15
257,110,87,3,1619.25,0.04
258,111,27,1,2291.88,0.02
259,111,152,3,1647.83,0.05
260,112,88,4,2100.11,0.28
261,112,80,2,2163.75,0.1
262,113,119,3,1122.45,0.03
263,113,125,3,326.56,0.01
264,114,104,5,2009.46,0.01
265,114,154,5,1004.62,0.0
266,115,38,1,101.55,0.18
267,115,23,5,1025.22,0.0
268,115,81,4,1518.61,0.13
269,116,177,4,464.5,0.19
270,116,45,1,418.36,0.15
271,117,199,1,1935.05,0.04
272,118,170,4,1172.99,0.13
273,119,133,3,2488.83,0.12
274,119,110,2,1652.69,0.25
275,120,24,2,2853.68,0.03
276,120,14,2,2333.55,0.03
277,120,45,4,477.42,0.03
278,121,188,3,69.31,0.3
279,121,106,5,2142.32,0.07
280,121,27,1,1847.53,0.21
281,122,114,3,837.37,0.05
282,122,142,3,3114.32,0.04
283,123,181,3,1551.94,0.03
284,123,81,5,1728.07,0.01
285,124,55,3,2438.77,0.03
286,125,156,3,57.24,0.02
287,125,21,3,1095.76,0.05
288,126,130,2,648.26,0.0
289,126,88,1,2800.15,0.04
290,126,66,5,1020.45,0.03
291,127,148,4,356.39,0.27
292,127,75,2,1354.98,0.29
293,127,185,5,778.83,0.19
294,128,118,3,2876.84,0.04
295,128,182,3,1015.85,0.02
296,129,91,5,2158.67,0.18
297,130,103,4,1781.42,0.04
298,131,65,4,2626.33,0.02
299,131,52,5,1152.05,0.02
300,131,181,2,1567.94,0.02
301,131,34,5,1365.1,0.0
302,131,1,5,1539.33,0.05
303,131,146,2,2644.08,0.0
304,132,77,4,1550.76,0.01
305,132,49,1,2033.65,0.03
306,132,101,3,1819.53,0.01
307,132,196,4,1010.04,0.05
308,133,62,2,244.49,0.01
309,133,128,2,1271.77,0.05
310,133,57,3,1845.55,0.02
311,134,196,5,978.14,0.08
312,134,68,3,1997.55,0.02
313,135,136,3,1413.59,0.02
314,136,49,2,1467.59,0.3
315,136,132,4,2528.54,0.21
316,137,14,3,2357.61,0.02
317,137,54,4,3181.03,0.04
318,138,36,2,1474.88,0.03
319,138,108,1,1103.8,0.01
320,139,117,1,2081.15,0.14
321,139,108,3,847.36,0.24
322,140,146,4,1850.86,0.3
323,140,92,1,1596.03,0.22
324,141,85,3,2482.93,0.27
325,141,106,2,1958.03,0.15
326,141,143,2,1399.44,0.05
327,141,127,5,2011.91,0.02
328,141,173,3,2251.01,0.11
329,141,61,3,372.07,0.11
330,142,146,4,2617.64,0.01
331,142,17,5,3204.76,0.03
332,143,23,2,994.46,0.03
333,143,194,1,898.64,0.02
334,143,160,4,2968.13,0.0
335,143,105,5,925.04,0.05
336,144,52,1,1081.52,0.08
337,145,142,5,3146.76,0.03
338,146,33,2,2217.74,0.02
339,147,42,1,2179.28,0.24
340,147,8,1,969.48,0.2
341,147,81,1,1553.52,0.11
342,148,18,3,3490.39,0.0
343,148,178,3,1772.07,0.01
344,149,135,5,2204.33,0.01
345,150,176,4,737.67,0.04
346,150,138,2,1724.1,0.0
347,150,125,3,323.26,0.02
348,151,195,5,125.79,0.02
349,151,120,5,551.21,0.25
350,152,199,5,1955.21,0.03
351,152,95,5,2921.91,0.01
352,152,57,4,1826.71,0.03
353,152,44,4,1131.34,0.01
354,152,198,1,1538.11,0.0
355,152,16,3,390.93,0.04
356,153,47,1,1531.46,0.01
357,153,163,5,764.59,0.0
358,154,36,1,1444.47,
359,154,8,3,1199.73,0.01
360,154,46,2,432.21,0.04
361,154,127,4,2011.91,0.02
362,154,93,1,2857.38,0.01
363,155,108,2,903.11,0.19
364,155,6,3,1953.89,0.27
365,156,176,5,722.31,0.06
366,157,82,2,3202.93,0.02
367,157,200,1,2479.69,0.01
368,157,173,2,2503.93,0.01
369,158,58,5,1893.01,0.03
370,159,41,1,941.67,0.03
371,160,67,3,2539.47,0.13
372,160,184,2,2903.92,0.09
373,160,52,1,1152.05,0.02
374,161,52,1,987.47,0.16
375,161,171,5,47.16,0.17
376,161,31,2,152.69,0.15
377,161,188,1,98.02,0.01
378,162,148,4,434.51,0.11
379,163,34,5,1310.5,0.04
380,164,89,1,1537.34,0.19
381,164,8,1,1211.85,0.0
382,164,96,2,1365.99,0.12
383,165,75,5,1832.08,0.04
384,165,73,2,1458.42,0.03
385,166,66,4,1009.93,0.04
386,166,84,4,1980.48,0.04
387,167,65,5,2653.13,0.01
388,167,107,2,2773.41,0.05
389,168,158,2,1722.74,0.1
390,169,160,4,2879.09,0.03
391,169,12,2,2572.01,0.04
392,169,54,4,3181.03,0.04
393,170,186,2,1710.61,0.21
394,170,117,3,2081.15,
395,170,81,1,1448.79,0.17
396,171,55,3,2514.2,0.0
397,172,124,4,2132.85,0.03
398,173,184,4,3159.21,0.01
399,173,145,2,3154.2,0.04
400,173,141,5,1783.79,0.04
401,174,95,5,2892.39,0.02
402,174,148,1,468.68,0.04
403,174,107,1,2831.8,0.03
404,174,56,2,2199.86,0.01
405,174,89,4,1878.97,0.01
406,175,53,2,209.29,0.01
407,175,40,1,468.64,0.01
408,175,144,3,614.15,0.01
409,175,199,2,1995.52,0.01
410,176,187,4,789.92,0.01
411,176,167,1,608.09,0.04
412,177,7,4,402.73,0.19
413,178,44,5,1131.34,0.01
414,178,113,4,422.09,0.04
415,178,22,1,574.9,0.02
416,178,31,5,177.84,0.01
417,178,94,1,2617.07,0.01
418,179,184,4,3159.21,0.01
419,180,57,4,1807.88,0.04
420,180,94,3,2537.76,0.04
421,180,23,4,994.46,0.03
422,180,93,5,2799.65,0.03
423,180,194,1,889.47,0.03
424,181,196,4,1041.94,0.02
425,181,41,5,931.96,0.04
426,181,30,4,3143.0,0.03
427,181,194,2,916.98,0.0
428,182,30,4,3078.2,0.05
429,183,74,3,2731.32,0.04
430,183,178,2,1736.27,0.03
431,184,38,5,118.89,0.04
432,185,104,2,1684.7,0.17
433,185,196,3,829.3,0.22
434,185,112,3,355.66,0.22
435,186,88,1,2595.97,0.11
436,186,162,5,184.5,0.25
437,187,106,2,2303.57,0.0
438,187,43,1,1278.47,0.04
439,187,60,5,482.59,0.04
440,188,43,5,1025.44,0.23
441,189,118,1,2876.84,0.04
442,189,50,5,2911.23,0.02
443,190,17,1,3204.76,0.03
444,190,198,4,1491.97,0.03
445,190,132,1,3104.66,0.03
446,191,10,2,1503.37,0.04
447,191,129,4,2292.04,0.01
448,191,32,5,369.85,0.0
449,192,191,2,1575.85,0.17
450,192,102,1,578.54,0.11
451,192,35,3,2024.23,0.3
452,192,150,5,1911.66,0.28
453,192,158,2,1512.18,0.21
454,193,59,1,632.68,0.02
455,194,71,3,549.37,0.21
456,194,130,2,641.78,0.01
457,195,4,1,3363.47,0.03
458,195,111,3,2618.14,0.01
459,195,48,1,3028.0,0.04
460,196,36,3,1505.3,0.01
461,196,109,2,2054.43,0.0
462,196,26,3,3002.87,0.02
463,197,55,5,2438.77,0.03
464,197,140,5,895.29,0.04
465,197,194,1,871.13,0.05
466,197,192,5,1616.84,0.04
467,197,8,1,1163.38,0.04
468,197,29,4,1177.44,0.04
469,198,71,3,660.63,0.05
470,198,146,4,2591.2,0.02
471,198,154,2,984.53,0.02
472,199,87,1,1602.38,0.05
473,199,144,1,601.74,0.03
474,199,159,3,3225.31,0.05
475,200,25,1,1226.67,0.03
476,200,106,1,2234.46,0.03
477,201,66,5,852.13,0.19
478,201,148,5,463.8,0.05
479,202,13,3,1975.09,0.0
480,203,36,2,1459.68,0.04
481,204,102,4,617.55,0.05
482,204,188,2,97.03,0.02
483,205,179,5,415.71,0.04
484,205,58,2,1658.83,0.15
485,206,8,5,1163.38,0.04
486,207,71,2,688.45,0.01
487,208,137,1,139.77,0.04
488,208,133,5,2743.37,0.03
489,208,82,4,3235.62,0.01
490,208,54,4,3214.16,0.03
491,208,70,1,1153.25,0.02
492,209,152,1,1665.18,0.04
493,209,6,1,2489.2,0.07
494,209,136,3,1038.56,0.28
495,209,90,2,474.36,0.22
496,209,134,3,239.49,0.15
497,210,42,5,2752.77,0.04
498,211,93,1,2713.07,0.06
499,211,125,3,260.59,0.21
500,211,75,2,1488.57,0.22
501,211,153,2,2659.84,0.21
502,211,157,3,563.84,0.18
503,212,98,5,3084.08,0.02
504,212,177,5,481.71,0.16
505,212,115,1,2826.44,0.18
506,213,200,3,2454.65,0.02
507,213,172,3,2702.64,0.01
508,213,31,3,176.05,0.02
509,214,108,2,1070.35,0.04
510,215,124,2,2088.87,0.05
511,215,15,1,1414.32,0.01
512,216,63,2,2475.97,0.17
513,216,139,5,571.13,0.23
514,217,31,5,134.73,0.25
515,217,194,3,751.92,0.18
516,217,140,4,736.75,0.21
517,218,57,3,1393.58,0.26
518,218,106,3,1981.07,0.14
519,218,175,3,716.48,0.17
520,219,22,1,574.9,0.02
521,219,193,2,1581.76,0.03
522,220,43,5,1318.42,0.01
523,220,78,4,3146.82,0.03
524,221,145,2,3285.62,0.0
525,221,96,2,1490.17,0.04
526,222,22,1,563.16,0.04
527,222,75,5,1851.17,0.03
528,222,114,1,872.63,0.01
529,222,166,5,1373.36,0.0
530,223,67,3,2656.23,0.09
531,223,102,2,565.54,0.13
532,223,19,2,798.4,0.15
533,224,193,5,1581.76,0.03
534,225,16,5,378.71,0.07
535,226,133,5,2771.66,0.02
536,227,155,3,720.88,0.19
537,228,79,4,357.76,0.03
538,228,116,4,1233.22,0.0
539,228,44,5,1142.77,0.0
540,228,17,4,3204.76,0.03
541,228,80,3,2332.04,0.03
542,228,122,1,755.93,0.02
543,229,60,4,482.59,0.04
544,230,33,2,1855.66,0.18
545,230,166,1,1181.09,0.14
546,230,44,4,1074.2,0.06
547,231,35,2,2400.16,0.17
548,232,150,2,2203.72,0.17
549,232,94,1,1876.88,0.29
550,233,142,5,3244.08,0.0
551,234,144,1,601.74,0.03
552,234,83,2,3316.3,0.04
553,235,129,2,2292.04,0.01
554,235,184,4,3159.21,0.01
555,235,113,3,430.89,0.02
556,235,38,2,122.6,0.01
557,235,189,1,2010.42,0.02
558,236,75,3,1870.25,0.02
559,237,183,3,281.0,0.17
560,237,125,5,290.28,0.12
561,238,146,2,2538.32,0.04
562,238,172,4,2648.04,0.03
563,239,36,4,1398.86,0.08
564,239,39,1,171.85,0.05
565,239,187,5,765.98,0.04
566,239,61,1,405.52,0.03
567,240,177,5,561.99,0.02
568,240,58,1,1912.53,0.02
569,241,18,3,3315.87,0.05
570,241,152,3,1717.21,
571,241,94,1,2590.63,0.02
572,241,147,1,2766.01,0.05
573,242,122,4,740.51,0.04
574,242,130,4,641.78,0.01
575,242,134,2,281.75,0.0
576,242,100,2,2784.9,0.0
577,242,96,5,1536.74,0.01
578,242,87,5,1619.25,0.04
579,243,193,4,1549.15,0.05
580,243,102,5,624.05,0.04
581,244,76,3,629.84,0.04
582,245,103,3,1837.09,0.01
583,245,95,4,2833.36,0.04
584,245,99,4,3046.58,0.05
585,246,167,5,627.1,0.01
586,247,14,2,2333.55,0.03
587,248,131,5,3488.74,0.0
588,248,78,5,3146.82,0.03
589,248,119,5,1134.03,0.02
590,249,178,1,1718.37,0.04
591,249,129,5,2222.58,0.04
592,249,198,5,1476.59,0.04
593,250,27,5,2245.1,0.04
594,250,107,5,2860.99,0.02
595,251,78,3,3114.37,0.04
596,251,150,2,2548.89,0.04
597,251,76,1,623.28,0.05
598,251,54,4,3280.43,0.01
599,252,125,3,313.37,0.05
600,253,161,5,2196.98,0.04
601,254,139,3,593.38,0.2
602,254,21,4,1141.9,0.01
603,255,146,5,2194.59,0.17
604,255,162,1,186.96,0.24
605,255,48,1,3028.0,0.04
606,255,104,2,1461.43,0.28
607,256,149,1,85.57,0.04
608,257,115,3,3274.54,0.05
609,257,108,4,1092.65,0.02
610,258,57,3,1807.88,0.04
611,258,20,5,2301.89,0.01
612,258,41,4,941.67,0.03
613,258,34,3,1310.5,0.04
614,259,19,2,676.3,0.28
615,259,61,5,326.09,0.22
616,259,108,1,992.31,0.11
617,259,184,2,3127.3,0.02
618,260,144,5,601.74,0.03
619,261,159,4,2987.65,0.12
620,261,158,5,1607.89,0.16
621,261,18,3,2966.83,0.15
622,262,103,3,1799.98,0.03
623,262,155,2,863.28,0.03
624,263,198,5,1538.11,0.0
625,263,78,4,3114.37,0.04
626,264,25,5,1264.61,0.0
627,264,136,5,1355.89,0.06
628,264,174,1,933.11,0.22
629,265,48,5,2744.13,0.13
630,265,174,5,1184.33,0.01
631,266,39,3,175.47,0.03
632,266,64,4,896.96,0.02
633,267,44,5,1142.77,0.0
634,267,73,2,1443.39,0.04
635,267,175,3,837.33,0.03
636,268,50,1,2822.11,0.05
637,268,7,1,477.31,0.04
638,268,181,2,1583.94,0.01
639,268,179,2,415.71,0.04
640,269,139,1,637.89,0.14
641,269,108,5,1014.6,0.09
642,269,153,3,2525.16,0.25
643,269,106,2,2119.28,0.08
644,270,158,5,1875.87,0.02
645,270,118,2,2996.71,0.0
646,270,62,2,242.02,0.02
647,271,30,3,3207.81,0.01
648,272,57,3,1807.88,0.04
649,273,68,4,1814.1,0.11
650,274,175,5,854.6,0.01
651,274,104,4,1968.87,0.03
652,275,15,2,1385.75,0.03
653,275,65,5,2599.53,0.03
654,275,118,4,2966.74,0.01
655,275,89,3,1822.03,0.04
656,275,166,4,1345.89,0.02
657,276,165,3,1910.79,0.0
658,276,162,2,236.16,0.04
659,277,92,5,1432.33,0.3
660,278,106,3,2280.53,0.01
661,278,92,4,2025.73,0.01
662,279,191,2,1879.63,0.01
663,280,50,3,2940.93,0.01
664,281,32,3,366.15,0.01
665,281,89,1,1822.03,0.04
666,281,190,3,1958.22,0.03
667,281,137,4,139.77,0.04
668,281,15,4,1414.32,0.01
669,282,138,2,1655.14,0.04
670,282,162,3,238.62,0.03
671,282,87,1,1619.25,0.04
672,283,25,3,1214.03,0.04
673,283,174,2,1148.44,0.04
674,284,6,1,2248.31,0.16
675,284,48,5,2239.46,0.29
676,284,90,4,443.95,0.27
677,285,133,4,2686.81,0.05
678,285,170,2,1334.78,0.01
679,285,83,5,3385.39,0.02
680,286,182,4,984.75,0.05
681,286,137,3,141.22,0.03
682,287,89,1,1803.05,0.05
683,287,171,2,54.55,0.04
684,287,176,1,753.04,0.02
685,288,23,4,984.21,0.04
686,289,125,2,310.07,0.06
687,289,54,5,2882.81,0.13
688,289,92,3,1514.18,0.26
689,290,19,4,789.01,0.16
690,290,151,3,571.0,0.21
691,291,91,1,1921.74,0.27
692,291,23,4,891.94,0.13
693,292,32,5,366.15,0.01
694,292,36,4,1459.68,0.04
695,292,62,4,242.02,0.02
696,293,124,4,1890.98,0.14
697,294,14,2,2381.66,0.01
698,294,163,5,734.01,0.04
699,294,128,4,1338.71,0.0
700,295,131,5,3453.85,0.01
701,295,119,1,1099.31,0.05
702,295,28,2,2890.24,0.01
703,296,56,1,2155.42,0.03
704,296,31,5,177.84,0.01
705,296,182,5,1005.48,0.03
706,296,126,2,2259.73,0.01
707,296,109,2,1972.25,0.04
708,297,192,5,1616.84,0.04
709,297,153,3,3299.54,0.02
710,297,97,2,1026.11,0.03
711,298,199,4,1854.43,0.08
712,298,191,3,1803.69,0.05
713,298,80,3,2380.13,0.01
714,298,91,4,2579.87,0.02
715,298,125,5,247.4,0.25
716,299,58,5,1912.53,0.02
717,299,31,1,170.66,0.05
718,300,92,2,2046.19,0.0
719,300,69,2,893.32,0.03
720,300,136,4,1399.17,0.03
721,301,133,5,2715.09,0.04
722,301,146,4,2617.64,0.01
723,302,168,5,983.33,0.04
724,302,134,5,270.48,0.04
725,302,150,5,2628.54,0.01
726,303,17,2,3039.57,0.08
727,304,20,5,1767.11,0.24
728,304,6,5,2515.97,0.06
729,305,195,2,127.08,0.01
730,305,55,2,2413.63,0.04
731,305,176,2,745.36,0.03
732,305,6,1,2542.73,0.05
733,305,97,5,1036.69,0.02
734,305,192,3,1616.84,0.04
735,306,93,1,2857.38,0.01
736,306,10,2,1534.69,0.02
737,306,131,5,3418.97,0.02
738,307,21,3,1153.43,0.0
739,308,75,4,1507.65,0.21
740,308,66,4,978.37,0.07
741,308,21,4,853.54,0.26
742,308,138,2,1534.45,0.11
743,308,102,2,585.04,0.1
744,308,8,2,957.36,0.21
745,309,3,2,1846.3,0.24
746,309,58,4,1775.92,0.09
747,309,92,3,2005.27,0.02
748,309,20,1,1674.1,0.28
749,310,146,3,2115.26,0.2
750,311,188,4,97.03,0.02
751,311,71,4,688.45,0.01
752,311,88,5,2800.15,0.04
753,312,25,3,961.1,0.24
754,312,44,1,914.22,0.2
755,312,179,2,389.73,0.1
756,312,139,5,630.47,0.15
757,312,198,4,1430.44,0.07
758,312,90,1,510.85,0.16
759,313,97,3,1015.54,0.04
760,313,153,5,3232.2,0.04
761,314,116,4,949.58,0.23
762,314,22,1,533.83,0.09
763,315,61,3,413.88,0.01
764,315,167,2,620.76,0.02
765,315,49,1,2054.62,0.02
766,315,53,1,207.17,0.02
767,316,199,3,1995.52,0.01
768,316,135,3,2137.54,0.04
769,316,129,3,2315.19,0.0
770,317,199,5,1955.21,0.03
771,318,164,5,2136.91,0.02
772,318,11,1,1421.82,0.02
773,318,114,2,837.37,0.05
774,318,113,2,426.49,0.03
775,319,139,2,726.9,0.02
776,319,175,2,837.33,0.03
777,320,144,2,620.35,0.0
778,320,174,4,1160.4,0.03
779,321,91,1,2500.89,0.05
780,321,86,2,2321.17,0.04
781,321,107,1,2890.19,0.01
782,321,76,3,629.84,0.04
783,321,129,5,2199.43,0.05
784,322,60,3,366.97,0.27
785,322,64,1,896.96,0.02
786,323,1,3,1166.65,0.28
787,324,195,3,123.23,0.04
788,325,32,1,369.85,0.0
789,326,132,1,2400.51,0.25
790,327,64,1,723.06,0.21
791,328,98,3,3147.02,0.0
792,328,35,2,2805.01,0.03
793,328,195,4,125.79,0.02
794,329,163,2,764.59,0.0
795,329,69,3,911.74,0.01
796,329,184,5,3063.48,0.04
797,330,120,1,624.71,0.15
798,330,100,1,2227.92,0.2
799,330,34,2,1160.33,0.15
800,330,107,1,2423.09,0.17
801,330,95,1,2361.14,0.2
802,331,168,2,983.33,0.04
803,331,36,3,1459.68,0.04
804,331,108,3,1081.5,0.03
805,331,91,3,2606.19,0.01
806,332,110,4,2137.48,0.03
807,333,186,3,2078.72,0.04
808,333,175,3,837.33,0.03
809,334,107,1,2860.99,0.02
810,335,174,4,861.33,0.28
811,335,44,5,1119.91,0.02
812,335,124,4,1693.08,0.23
813,336,139,5,741.73,0.0
814,337,116,5,1196.22,0.03
815,338,89,2,1878.97,0.01
816,339,180,2,3321.01,0.05
817,339,155,3,872.18,0.02
818,340,47,4,1531.46,0.01
819,340,68,4,1997.55,0.02
820,340,181,2,1551.94,0.03
821,340,146,4,2617.64,0.01
822,340,33,3,2149.85,0.05
823,341,44,4,1097.06,0.04
824,341,19,3,929.91,0.01
825,341,159,1,3361.11,0.01
826,342,24,1,2941.94,0.0
827,342,79,2,365.13,0.01
828,342,28,1,2919.43,0.0
829,343,179,4,420.04,0.03
830,343,77,3,1503.76,0.04
831,343,178,3,1736.27,0.03
832,344,156,2,55.49,0.05
833,344,82,1,3235.62,0.01
834,344,34,3,1310.5,0.04
835,344,194,3,916.98,0.0
836,345,40,4,340.83,0.28
837,345,11,2,1421.82,0.02
